date,open,high,low,close,volume,vix,time
2024-11-13,512.4,514.98,509.95,512.25,24567416,14.02,2024-11-13
2024-11-14,511.91,512.79,507.77,508.69,28679519,14.31,2024-11-14
2024-11-15,502.94,503.33,494.49,496.57,51461054,16.14,2024-11-15
2024-11-18,498.13,502.14,496.73,500.02,27192662,15.58,2024-11-18
2024-11-19,497.42,503.9536,497.08,503.46,24523020,16.35,2024-11-19
2024-11-20,503.16,503.48,496.555,503.17,29565491,17.16,2024-11-20
2024-11-21,506.24,506.96,497.56,504.98,34526738,16.87,2024-11-21
2024-11-22,504.42,506.53,502.78,505.79,23826644,15.24,2024-11-22
2024-11-25,509.9,511.4525,504.2625,506.59,26375166,14.6,2024-11-25
2024-11-26,508.08,510.14,507.23,509.31,26557061,14.1,2024-11-26
2024-11-27,508.17,508.24,501.93,505.3,24957441,14.1,2024-11-27
2024-11-29,505.93,510.34,505.31,509.74,15333968,13.51,2024-11-29
2024-12-02,511.01,516.26,510.62,515.29,25147165,13.34,2024-12-02
2024-12-03,513.95,517.15,513.37,516.87,18597900,13.3,2024-12-03
2024-12-04,520.32,523.52,519.6,523.26,26086222,13.45,2024-12-04
2024-12-05,523.31,524.0399,521.42,521.81,18169632,13.54,2024-12-05
2024-12-06,522.48,526.72,522.35,526.48,23762611,12.77,2024-12-06
2024-12-09,525.55,526.35,521.22,522.38,20674405,14.19,2024-12-09
2024-12-10,523.62,525.38,519.16,520.6,24350040,14.18,2024-12-10
2024-12-11,525.0,530.61,524.59,529.92,32168579,13.58,2024-12-11
2024-12-12,527.68,528.96,526.02,526.5,23577504,13.92,2024-12-12
2024-12-13,530.46,533.1661,527.3001,530.53,28780405,13.81,2024-12-13
2024-12-16,533.08,539.15,533.0,538.17,31979863,14.69,2024-12-16
2024-12-17,536.36,537.48,534.13,535.8,28579070,15.87,2024-12-17
2024-12-18,535.15,536.8799,515.01,516.47,54703155,27.62,2024-12-18
2024-12-19,521.19,521.7599,513.83,514.17,46441754,24.09,2024-12-19
2024-12-20,510.44,524.82,509.29,518.66,60529961,18.36,2024-12-20
2024-12-23,519.55,523.25,516.13,522.87,29672800,16.78,2024-12-23
2024-12-24,524.83,530.05,524.19,529.96,17558215,14.27,2024-12-24
2024-12-26,528.32,531.24,526.31,529.6,19141494,14.73,2024-12-26
2024-12-27,526.01,526.45,517.86,522.56,33839555,15.95,2024-12-27
2024-12-30,515.51,519.36,511.83,515.61,34584028,17.4,2024-12-30
2024-12-31,516.9,517.66,510.26,511.23,29117028,17.35,2024-12-31
2025-01-02,514.3,516.64,505.71,510.23,36389783,17.93,2025-01-02
2025-01-03,513.35,519.6454,512.53,518.58,29059520,16.13,2025-01-03
2025-01-06,524.02,527.92,522.03,524.54,36109734,16.04,2025-01-06
2025-01-07,525.59,525.99,513.28,515.18,36690272,17.82,2025-01-07
2025-01-08,515.08,516.9199,510.57,515.27,30777777,17.7,2025-01-08
2025-01-10,511.48,511.58,503.92,507.19,40532495,19.54,2025-01-10
2025-01-13,501.2,506.02,499.7,505.56,31694210,19.19,2025-01-13
2025-01-14,508.74,510.155,501.59,505.08,33737237,18.71,2025-01-14
2025-01-15,513.03,517.85,511.46,516.7,34957554,16.12,2025-01-15
2025-01-16,518.98,519.0599,512.95,513.08,28229037,16.6,2025-01-16
2025-01-17,522.85,524.0733,513.1086,521.74,51837941,15.97,2025-01-17
2025-01-21,524.48,525.97,520.06,524.8,23627971,15.06,2025-01-21
2025-01-22,529.57,533.82,529.26,531.51,33592988,15.1,2025-01-22
2025-01-23,529.04,532.76,528.45,532.64,23096588,15.02,2025-01-23
2025-01-24,533.02,533.79,528.15,529.63,19878251,14.85,2025-01-24
2025-01-27,511.0,517.99,510.15,514.21,60771695,17.9,2025-01-27
2025-01-28,515.22,523.0,511.78,521.81,33194214,16.41,2025-01-28
2025-01-29,522.46,522.59,516.8988,520.83,26649011,16.56,2025-01-29
2025-01-30,523.71,526.095,518.21,523.05,27431302,15.84,2025-01-30
2025-01-31,526.92,531.5178,521.19,522.29,38845467,16.43,2025-01-31
2025-02-03,513.47,520.8496,511.05,518.11,40580835,18.62,2025-02-03
2025-02-04,518.63,525.11,518.23,524.47,26046753,17.21,2025-02-04
2025-02-05,521.82,527.01,520.62,526.85,21134070,15.77,2025-02-05
2025-02-06,527.36,529.81,525.7413,529.6,19434454,15.5,2025-02-06
2025-02-07,530.14,532.1,522.19,522.92,29605470,16.54,2025-02-07
2025-02-10,527.22,530.3571,526.75,529.25,20852784,15.81,2025-02-10
2025-02-11,525.96,529.92,525.83,527.99,19325500,16.02,2025-02-11
2025-02-12,522.3,529.19,521.95,528.3,25009362,15.89,2025-02-12
2025-02-13,529.98,536.22,529.19,535.9,28714799,15.1,2025-02-13
