date,open,high,low,close,volume,vix,time,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi_14,rsi_7,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,atr,volume_sma_20,volume_ratio,return_1,return_5,return_10,return_20,resistance_1,support_1,dist_from_resistance,dist_from_support,pivot,r1,s1,r2,s2,vanna_support_1,vanna_support_1_strength,vanna_support_2,vanna_support_2_strength,vanna_support_3,vanna_support_3_strength,vanna_resistance_1,vanna_resistance_1_strength,vanna_resistance_2,vanna_resistance_2_strength,vanna_resistance_3,vanna_resistance_3_strength,dist_to_vanna_support,dist_to_vanna_resistance,near_vanna_support,near_vanna_resistance,vanna_strength_ratio,trend_strength,choppiness,volatility_rank,range_compression,avg_range,range_vs_avg,consecutive_up,consecutive_down,momentum_streak,hour,minute,day_of_week,market_open_30,market_close_30,avoid_time,optimal_hours,is_monday,is_friday,future_high,future_low,future_return,profit_target_hit,stop_loss_hit,trade_quality,expected_move_up,expected_move_down
2024-11-13,597.37,599.23,594.96,597.19,47388640,14.02,2024-11-13,,597.19,,597.19,,597.19,,597.19,,597.19,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,597.1266666666667,599.2933333333333,595.0233333333333,601.3966666666666,592.8566666666667,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-11.795575947353418,12.63283042247859,0,0,0.9856450062059492,,,,0.007150153217568917,,,0,0,0,0,0,2,0,0,0,0,0,0,,,,False,False,0,,
2024-11-14,597.32,597.81,592.65,593.35,38904109,14.31,2024-11-14,,595.9100000000001,,596.4918181818182,,596.8242857142858,,597.039411764706,,597.1517910447762,,,-0.306324786324808,-0.061264957264961596,-0.24505982905984638,,,,,,,,,-0.006430114368961348,,,,,,,,594.6033333333334,596.5566666666667,591.3966666666668,599.7633333333333,589.4433333333334,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-12.51908654251284,13.361759501137596,0,0,0.9856450062059492,,,,0.008696384933007445,,,0,1,0,0,0,3,0,0,0,0,0,0,,,,False,False,0,,
2024-11-15,589.72,590.2,583.86,585.75,75988766,16.14,2024-11-15,,592.5233333333334,,594.5387603305785,,595.7695918367348,,596.5966897347175,,597.0383403876143,,,-1.1490997638006775,-0.27883191857210476,-0.8702678452285727,,,,,,,,,-0.012808628971096359,,,,,,,,586.6033333333334,589.3466666666667,583.0066666666667,592.9433333333334,580.2633333333333,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-13.979001280409722,14.832607767819026,0,0,0.9856450062059492,,,,0.010823730260350033,,,0,1,0,0,0,4,0,0,0,0,0,1,,,,False,False,0,,
2024-11-18,586.22,589.49,585.34,588.15,37084081,15.58,2024-11-18,,591.0655555555556,,593.3771675432006,,595.0439164237124,,596.2654470000227,,596.9498991897276,,,-1.6048454041158493,-0.5440346156808538,-1.0608107884349955,,,,,,,,,0.0040973111395645745,,,,,,,,587.66,589.9799999999999,585.8299999999999,591.81,583.51,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-13.513899515429733,14.364022783303573,0,0,0.9856450062059492,,,,0.007056023123352848,,,1,0,7,0,0,0,0,0,0,0,1,0,,,,False,False,0,,
2024-11-19,584.71,591.045,584.03,590.3,49412046,16.35,2024-11-19,590.948,590.8103703703705,,592.817682535346,,594.5921148595493,,596.0315079019826,,596.8837310385861,,,-1.772112268703495,-0.789650146285382,-0.9824621224181129,,,,,,,,,0.0036555300518574807,,,,,,,,588.4583333333333,592.8866666666665,585.8716666666666,595.4733333333332,581.4433333333333,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-13.100457394545145,13.947484330001695,0,0,0.9856450062059492,,,,0.01188378790445534,,,1,0,7,0,0,1,0,0,0,0,0,0,,,,False,False,0,,
2024-11-20,590.38,590.79,584.63,590.5,50032576,17.16,2024-11-20,589.61,590.706913580247,,592.3962857107375,,594.2023896348303,,595.8145860234736,,596.8202113267594,,,-1.8670123789222544,-1.0051225928127565,-0.8618897861094978,,,,,,,,,0.0003388107741826296,-0.011202464877174911,,,,,,,588.64,592.65,586.49,594.8,582.48,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-13.062150719729035,13.90889077053344,0,0,0.9856450062059492,,,,0.010431837425910192,,,1,0,7,0,0,2,0,0,0,0,0,0,,,,False,False,0,,
2024-11-21,593.4,595.12,587.45,593.67,46750285,16.87,2024-11-21,589.674,591.694609053498,,592.6278701269671,,594.1516858600845,,595.7304846107883,,596.7888659404235,,40.909090909090665,-1.6672103299035825,-1.1375401402309218,-0.5296701896726608,,,,,,,,,0.005368331922099845,0.0005393106935196457,,,,,,,592.08,596.71,589.0400000000001,599.75,584.4100000000001,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-12.45843650512911,13.300655246180536,0,0,0.9856450062059492,,,,0.012919635487728806,,,1,0,7,0,0,3,0,0,0,0,0,0,,,,False,False,0,,
2024-11-22,593.66,596.15,593.1525,595.51,38226390,15.24,2024-11-22,591.626,592.9664060356654,,593.1518937402458,,594.281049111505,,595.7218381554633,,596.7761409061904,,46.03773584905646,-1.3448900883089436,-1.1790101298465263,-0.16587995846241732,,,,,,,,,0.003099364967069196,0.01666239863422958,,,,,,,594.9375,596.7225,593.725,597.935,591.94,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-12.110963711776455,12.950580174976064,0,0,0.9856450062059492,,,,0.005033500696881573,,,1,0,7,0,0,4,0,0,0,0,0,1,,,,False,False,0,,
2024-11-25,599.52,600.86,595.2,597.53,42441393,14.6,2024-11-25,593.502,594.487604023777,,593.947913060201,,594.5904730056474,,595.7927464630922,,596.7836419917011,,60.78431372549007,-0.91589400058308,-1.1263869039938372,0.21049290341075721,,,,,,,,,0.0033920505113262944,0.015948312505313256,,,,,,,597.8633333333333,600.5266666666666,594.8666666666667,603.5233333333333,592.2033333333334,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-11.731963248707174,12.568741318427524,0,0,0.9856450062059492,,,,0.009472327749234295,,,1,0,7,0,0,0,0,0,0,0,1,0,,,,False,False,0,,
2024-11-26,598.8,601.33,598.07,600.65,45621288,14.1,2024-11-26,595.572,596.5417360158513,593.26,595.1664743219826,,595.1675708146333,,595.9832269939512,,596.8221132156643,,100.0,-0.32045952728685734,-0.9652014286524413,0.644741901365584,,,,,,,,,0.005221495155054878,0.017533457563950527,,,,,,,600.0166666666668,601.9633333333335,598.7033333333335,603.2766666666668,596.7566666666668,667.632,0.033712219333083056,662.632,0.033193244946861114,657.632,0.03266637899839429,672.632,0.03410320614503162,677.632,0.03359949212113079,682.632,0.03310315709534169,-11.15158578206942,11.984017314575873,0,0,0.9856450062059492,,,,0.005427453591942048,,,1,0,7,0,0,1,0,0,0,0,0,0,,,,False,False,0,,
